https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume ADA,Volume EUR,tradecount
1608854400,2020-12-25 00:00:00,ADA/EUR,0.125533,0.126148,0.124261,0.124261,0.125084,56410.03378551,7009.567208221258,50
1608850800,2020-12-24 23:00:00,ADA/EUR,0.126917,0.127136,0.124517,0.125590,0.126108,1645972.32059278,206717.66374324725,404
1608847200,2020-12-24 22:00:00,ADA/EUR,0.125381,0.126917,0.125282,0.126917,0.126155,1205093.82721543,152946.89326870075,258
1608843600,2020-12-24 21:00:00,ADA/EUR,0.123411,0.125700,0.123411,0.125380,0.124751,546508.75352027,68521.26751637144,209
1608840000,2020-12-24 20:00:00,ADA/EUR,0.123119,0.124200,0.122274,0.123418,0.123435,174929.56431409,21589.45696851636,68
1608836400,2020-12-24 19:00:00,ADA/EUR,0.124105,0.124105,0.122349,0.123067,0.122996,163676.48308507,20143.17374383031,84
1608832800,2020-12-24 18:00:00,ADA/EUR,0.123323,0.124217,0.121554,0.124217,0.122723,163935.85399875,20363.61997616273,98
1608829200,2020-12-24 17:00:00,ADA/EUR,0.122500,0.123349,0.120959,0.123259,0.122623,374695.13201104,46184.54727654878,137
1608825600,2020-12-24 16:00:00,ADA/EUR,0.123167,0.124580,0.122443,0.122443,0.123636,1148110.43380124,140578.08584592523,241
1608822000,2020-12-24 15:00:00,ADA/EUR,0.122198,0.123168,0.121212,0.123039,0.122074,1619559.47338498,199268.97804581455,190
1608818400,2020-12-24 14:00:00,ADA/EUR,0.123400,0.123400,0.121459,0.121501,0.122606,364043.69957733,44231.67354234517,138
1608814800,2020-12-24 13:00:00,ADA/EUR,0.120888,0.123001,0.120888,0.122910,0.122236,903135.10110235,111004.33527648984,204
1608811200,2020-12-24 12:00:00,ADA/EUR,0.120633,0.122638,0.119160,0.120840,0.120704,1006144.03313225,121582.44496370108,336
1608807600,2020-12-24 11:00:00,ADA/EUR,0.115956,0.121000,0.115322,0.120838,0.118569,1089560.15158271,131660.26959695152,294
1608804000,2020-12-24 10:00:00,ADA/EUR,0.119456,0.119740,0.115905,0.116321,0.118355,869572.92774883,101149.59252867165,277
1608800400,2020-12-24 09:00:00,ADA/EUR,0.114486,0.119733,0.113834,0.119360,0.116448,943052.76739803,112562.77831662886,356
1608796800,2020-12-24 08:00:00,ADA/EUR,0.113528,0.114250,0.112340,0.114205,0.113419,1456855.06598284,166380.13281057024,385
1608793200,2020-12-24 07:00:00,ADA/EUR,0.110217,0.113927,0.109859,0.113534,0.111663,266284.87732551,30232.387262274453,152
1608789600,2020-12-24 06:00:00,ADA/EUR,0.112269,0.112369,0.109907,0.110557,0.111066,556758.62336884,61553.563123788845,151
1608786000,2020-12-24 05:00:00,ADA/EUR,0.111768,0.113143,0.111050,0.111406,0.111665,385125.26568663,42905.2653490847,116
1608782400,2020-12-24 04:00:00,ADA/EUR,0.111295,0.112277,0.109282,0.111803,0.110925,439882.67554267,49180.202773697136,132
1608778800,2020-12-24 03:00:00,ADA/EUR,0.110992,0.111500,0.110237,0.111489,0.111014,127291.61081297,14191.614397927213,89
1608775200,2020-12-24 02:00:00,ADA/EUR,0.113961,0.113961,0.110615,0.110615,0.111957,1406012.05797270,155526.02379265023,255
1608771600,2020-12-24 01:00:00,ADA/EUR,0.109253,0.114603,0.108718,0.114148,0.111458,797139.13317466,90991.8377736211,290
1608768000,2020-12-24 00:00:00,ADA/EUR,0.112472,0.112500,0.108228,0.109059,0.110438,1349077.29523805,147129.0207413665,471
1608764400,2020-12-23 23:00:00,ADA/EUR,0.113964,0.116088,0.111211,0.112350,0.114554,1208807.25455424,135809.49504916888,405
1608760800,2020-12-23 22:00:00,ADA/EUR,0.116541,0.120000,0.104200,0.113717,0.109986,7529042.36429171,856180.1105401603,1992
1608757200,2020-12-23 21:00:00,ADA/EUR,0.117603,0.118326,0.116000,0.116703,0.116933,1669981.65738216,194891.86936147022,460
1608753600,2020-12-23 20:00:00,ADA/EUR,0.121441,0.121600,0.117586,0.117596,0.119799,1134528.04513591,133415.95999580246,349
1608750000,2020-12-23 19:00:00,ADA/EUR,0.121048,0.121777,0.120332,0.121016,0.120939,364434.44523883,44102.398825022254,106
1608746400,2020-12-23 18:00:00,ADA/EUR,0.120257,0.121246,0.120110,0.121204,0.120683,254862.38554349,30890.340577413164,124
1608742800,2020-12-23 17:00:00,ADA/EUR,0.118221,0.120639,0.118221,0.120504,0.119719,389231.11247943,46903.90597822123,144
1608739200,2020-12-23 16:00:00,ADA/EUR,0.118957,0.120159,0.118000,0.118215,0.119051,1092188.24836413,129113.03378036563,227
