https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume ADA,Volume EUR,tradecount
1608854400,2020-12-25 00:00:00,ADA/EUR,0.125533,0.126148,0.125533,0.126140,0.125901,7258.23437079,915.5536835314506,8
1608768000,2020-12-24 00:00:00,ADA/EUR,0.112472,0.127136,0.108228,0.125590,0.118490,19002417.12757002,2386513.5670515187,5335
1608681600,2020-12-23 00:00:00,ADA/EUR,0.128746,0.129470,0.104200,0.112350,0.118096,33474763.81075467,3760889.7141382876,8797
1608595200,2020-12-22 00:00:00,ADA/EUR,0.125152,0.132560,0.122008,0.128290,0.128166,14215374.34207121,1823690.3743443151,4283
1608508800,2020-12-21 00:00:00,ADA/EUR,0.132000,0.135633,0.121140,0.125029,0.125704,19836038.97616494,2480080.1171509265,5700
1608422400,2020-12-20 00:00:00,ADA/EUR,0.133530,0.137208,0.128000,0.132160,0.133488,9375698.59029967,1239092.3256940043,2730
1608336000,2020-12-19 00:00:00,ADA/EUR,0.134758,0.139136,0.132886,0.133620,0.136699,7789323.10400489,1040809.3531571333,2653
1608249600,2020-12-18 00:00:00,ADA/EUR,0.133171,0.138051,0.129200,0.134657,0.134270,10192290.67867864,1372463.2859188295,3112
1608163200,2020-12-17 00:00:00,ADA/EUR,0.137813,0.143624,0.128636,0.133271,0.136889,36596916.39897075,4877307.6454072315,8869
1608076800,2020-12-16 00:00:00,ADA/EUR,0.126722,0.137895,0.122690,0.137895,0.131452,23141963.64689839,3191161.077089053,5456
1607990400,2020-12-15 00:00:00,ADA/EUR,0.130499,0.131698,0.125850,0.126679,0.128060,8587580.55591623,1087866.117242912,2051
1607904000,2020-12-14 00:00:00,ADA/EUR,0.126804,0.130380,0.122877,0.130380,0.125855,10662805.67506926,1390216.60391553,3704
1607817600,2020-12-13 00:00:00,ADA/EUR,0.119063,0.129310,0.118177,0.126464,0.125859,13009447.91794534,1645226.8214950394,3544
1607731200,2020-12-12 00:00:00,ADA/EUR,0.114864,0.122000,0.114569,0.118925,0.119877,13373829.62882305,1590482.6886077812,2535
1607644800,2020-12-11 00:00:00,ADA/EUR,0.116932,0.117804,0.111288,0.114677,0.114791,13414156.31265807,1538295.2034666894,2964
1607558400,2020-12-10 00:00:00,ADA/EUR,0.122775,0.123193,0.114781,0.116690,0.118837,15115702.63100163,1763851.3400115804,3448
1607472000,2020-12-09 00:00:00,ADA/EUR,0.116481,0.124387,0.107000,0.123142,0.114721,31446531.42601997,3872388.7728629513,5377
1607385600,2020-12-08 00:00:00,ADA/EUR,0.127155,0.128000,0.114212,0.116687,0.120759,21139345.69162543,2466686.8307186966,4605
1607299200,2020-12-07 00:00:00,ADA/EUR,0.130946,0.130946,0.124842,0.127215,0.127398,11816782.29626943,1503271.9598199155,2002
1607212800,2020-12-06 00:00:00,ADA/EUR,0.132303,0.134100,0.126921,0.130934,0.129537,9144741.10426996,1197357.531746483,2083
1607126400,2020-12-05 00:00:00,ADA/EUR,0.122000,0.134060,0.120766,0.131718,0.129276,10938342.79640963,1440776.6364574835,2323
1607040000,2020-12-04 00:00:00,ADA/EUR,0.135161,0.135700,0.120553,0.122315,0.128437,21189017.97472477,2591734.73357846,3744
1606953600,2020-12-03 00:00:00,ADA/EUR,0.130976,0.138800,0.128850,0.135288,0.133863,16568057.47139537,2241459.3591901367,3325
1606867200,2020-12-02 00:00:00,ADA/EUR,0.129266,0.132631,0.125484,0.130947,0.129681,17898262.74355703,2343723.811480562,3480
1606780800,2020-12-01 00:00:00,ADA/EUR,0.143741,0.145000,0.117187,0.129207,0.132189,51004596.00075509,6590150.835469562,9956
1606694400,2020-11-30 00:00:00,ADA/EUR,0.139508,0.145010,0.134058,0.143444,0.139959,32595222.11190276,4675589.040619778,7600
1606608000,2020-11-29 00:00:00,ADA/EUR,0.138113,0.143778,0.131541,0.139649,0.137823,22833607.21506576,3188690.413976718,5063
1606521600,2020-11-28 00:00:00,ADA/EUR,0.118633,0.144558,0.116635,0.138124,0.134686,43409633.14940900,5995912.169128969,9516
1606435200,2020-11-27 00:00:00,ADA/EUR,0.117641,0.122148,0.110097,0.118585,0.114954,22431214.00048778,2660005.512247843,5448
1606348800,2020-11-26 00:00:00,ADA/EUR,0.130245,0.135097,0.103000,0.117804,0.112845,85950291.08376772,10125288.090832174,19492
1606262400,2020-11-25 00:00:00,ADA/EUR,0.140760,0.148114,0.123301,0.130406,0.139001,38455962.18104523,5014888.204181383,10113
1606176000,2020-11-24 00:00:00,ADA/EUR,0.131111,0.154796,0.127312,0.140555,0.139900,81357326.84754033,11435179.075056033,17981
1606089600,2020-11-23 00:00:00,ADA/EUR,0.123066,0.133500,0.118429,0.130547,0.128351,52385377.20009151,6838753.837340347,11166
1606003200,2020-11-22 00:00:00,ADA/EUR,0.112127,0.129000,0.100180,0.122238,0.115871,77744466.97707569,9503328.154343778,12080
1605916800,2020-11-21 00:00:00,ADA/EUR,0.099677,0.113163,0.098220,0.112414,0.106071,32501427.11246395,3653615.4274205226,6854
1605830400,2020-11-20 00:00:00,ADA/EUR,0.089447,0.100299,0.089185,0.099868,0.094318,23223949.60450518,2319329.399102723,3871
1605744000,2020-11-19 00:00:00,ADA/EUR,0.089958,0.091381,0.088217,0.089225,0.089828,9499393.91253884,847583.4218462779,1334
1605657600,2020-11-18 00:00:00,ADA/EUR,0.092162,0.095199,0.085681,0.090255,0.089764,21837349.80065437,1970930.0062580602,2841
1605571200,2020-11-17 00:00:00,ADA/EUR,0.087635,0.094600,0.087345,0.092232,0.092117,20663351.15698832,1905822.2039113466,3553
1605484800,2020-11-16 00:00:00,ADA/EUR,0.085000,0.088910,0.084308,0.087612,0.087744,10175629.16134737,891507.2220839658,1627
1605398400,2020-11-15 00:00:00,ADA/EUR,0.088107,0.089000,0.083472,0.085080,0.085968,9141857.46671685,777789.2332682697,1609
1605312000,2020-11-14 00:00:00,ADA/EUR,0.089940,0.090554,0.085661,0.088087,0.087579,7669304.96757783,675566.0666790283,1557
1605225600,2020-11-13 00:00:00,ADA/EUR,0.088775,0.091360,0.088323,0.090025,0.090080,5689359.61395731,512184.5992465068,1157
1605139200,2020-11-12 00:00:00,ADA/EUR,0.090124,0.090739,0.087270,0.088821,0.088671,9777468.16487742,868444.4998725774,1519
1605052800,2020-11-11 00:00:00,ADA/EUR,0.089834,0.092500,0.089500,0.089978,0.091123,8974605.64176673,807517.0664348869,1784
1604966400,2020-11-10 00:00:00,ADA/EUR,0.089269,0.092405,0.088000,0.089817,0.090323,11984412.06387531,1076403.9383410886,1778
1604880000,2020-11-09 00:00:00,ADA/EUR,0.089463,0.090963,0.085807,0.088948,0.088630,20252797.99815519,1801445.876339908,2301
1604793600,2020-11-08 00:00:00,ADA/EUR,0.084989,0.091255,0.083869,0.089858,0.089253,18988143.32885172,1706236.5832439575,2232
1604707200,2020-11-07 00:00:00,ADA/EUR,0.092045,0.095700,0.082840,0.085000,0.088428,19066162.52057746,1620623.8142490843,3620
1604620800,2020-11-06 00:00:00,ADA/EUR,0.082500,0.092699,0.082220,0.092141,0.089149,13632213.61419048,1256085.794625125,3015
1604534400,2020-11-05 00:00:00,ADA/EUR,0.081444,0.083130,0.077917,0.082379,0.081036,10025402.75392610,825882.6534656781,1841
1604448000,2020-11-04 00:00:00,ADA/EUR,0.079636,0.082091,0.078483,0.081364,0.080884,8342992.06163817,678819.2061031281,1084
1604361600,2020-11-03 00:00:00,ADA/EUR,0.079345,0.080114,0.075793,0.079681,0.078171,5445814.57691271,433927.9513029817,1172
1604275200,2020-11-02 00:00:00,ADA/EUR,0.084297,0.085827,0.078679,0.079474,0.081551,8133574.06816735,646407.665493532,1275
1604188800,2020-11-01 00:00:00,ADA/EUR,0.079782,0.084661,0.079613,0.084242,0.082662,4233494.75684132,356638.0653058264,758
1604102400,2020-10-31 00:00:00,ADA/EUR,0.080001,0.081887,0.079110,0.079939,0.080556,4907621.52829459,392310.3573503412,784
1604016000,2020-10-30 00:00:00,ADA/EUR,0.081725,0.081866,0.077000,0.080017,0.078953,8605262.85765126,688567.3180806809,1552
1603929600,2020-10-29 00:00:00,ADA/EUR,0.084086,0.085980,0.081132,0.081815,0.083556,6776036.03084816,554381.3878638422,1337
1603843200,2020-10-28 00:00:00,ADA/EUR,0.087104,0.087748,0.081230,0.084312,0.083658,9758164.51337038,822730.3664512835,1979
1603756800,2020-10-27 00:00:00,ADA/EUR,0.087352,0.089518,0.086583,0.087300,0.088101,5312120.97495456,463748.16111353313,1165
