https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume BTC,Volume EUR,tradecount
1608854400,2020-12-25 00:00:00,BTC/EUR,19473.0,19529.3,19399.0,19426.8,19491.0,19.58984202,380567.94295413594,314
1608850800,2020-12-24 23:00:00,BTC/EUR,19469.8,19519.9,19385.0,19468.8,19458.5,194.03105343,3777551.7730179834,2259
1608847200,2020-12-24 22:00:00,BTC/EUR,19243.8,19500.0,19222.4,19469.8,19410.3,156.35152472,3044132.915993456,1680
1608843600,2020-12-24 21:00:00,BTC/EUR,19355.7,19355.8,19222.4,19244.8,19312.4,109.52169280,2107723.07359744,1028
1608840000,2020-12-24 20:00:00,BTC/EUR,19139.9,19550.0,19118.7,19350.3,19320.0,637.30209304,12331986.690951912,2241
1608836400,2020-12-24 19:00:00,BTC/EUR,19163.2,19220.0,19114.0,19138.3,19182.8,52.11371589,997367.928817587,970
1608832800,2020-12-24 18:00:00,BTC/EUR,19214.4,19220.0,19145.5,19161.1,19183.1,64.01405056,1226579.624185216,874
1608829200,2020-12-24 17:00:00,BTC/EUR,19096.2,19277.8,19062.9,19212.4,19177.5,98.51930811,1892792.3551325642,1320
1608825600,2020-12-24 16:00:00,BTC/EUR,19109.0,19197.5,19008.2,19093.9,19111.4,130.15915450,2485245.88010755,1595
1608822000,2020-12-24 15:00:00,BTC/EUR,19095.3,19152.5,19001.0,19109.2,19074.3,147.52929383,2819166.781656236,1446
1608818400,2020-12-24 14:00:00,BTC/EUR,19230.0,19257.9,19041.9,19095.3,19182.0,144.21141952,2753760.3191602556,1570
1608814800,2020-12-24 13:00:00,BTC/EUR,19091.1,19230.0,19032.0,19228.4,19136.7,154.49657425,2970721.9283087,1675
1608811200,2020-12-24 12:00:00,BTC/EUR,19102.5,19148.6,18934.0,19091.2,19025.7,217.06757945,4144080.5727958404,1925
1608807600,2020-12-24 11:00:00,BTC/EUR,19026.2,19139.9,18962.2,19102.4,19040.8,236.68188663,4521192.0711609125,1841
1608804000,2020-12-24 10:00:00,BTC/EUR,19194.9,19198.0,19026.0,19026.3,19094.0,178.96868289,3405111.851270007,1817
1608800400,2020-12-24 09:00:00,BTC/EUR,19256.8,19275.8,19120.9,19194.9,19181.1,207.83064239,3989288.3976118113,1840
1608796800,2020-12-24 08:00:00,BTC/EUR,19034.5,19277.1,18956.7,19253.6,19156.0,197.43211347,3801278.9399059913,1920
1608793200,2020-12-24 07:00:00,BTC/EUR,18837.4,19063.9,18762.0,19031.9,18918.4,192.81421254,3669620.811640026,1628
1608789600,2020-12-24 06:00:00,BTC/EUR,18942.6,19000.0,18801.8,18836.1,18874.7,121.47307980,2288079.0784207797,1262
1608786000,2020-12-24 05:00:00,BTC/EUR,18909.1,18989.5,18830.8,18942.6,18929.3,116.16810440,2200525.93440744,880
1608782400,2020-12-24 04:00:00,BTC/EUR,18799.2,18924.0,18724.0,18909.1,18826.2,100.73298710,1904770.12637261,981
1608778800,2020-12-24 03:00:00,BTC/EUR,18728.5,18880.6,18670.0,18789.3,18751.6,165.40058810,3107761.26998733,1201
1608775200,2020-12-24 02:00:00,BTC/EUR,19055.8,19064.8,18700.0,18728.6,18939.2,515.16758971,9648367.720642706,2190
1608771600,2020-12-24 01:00:00,BTC/EUR,18940.4,19057.1,18796.6,19056.0,18942.5,506.05689601,9643420.21036656,2154
1608768000,2020-12-24 00:00:00,BTC/EUR,19090.1,19091.3,18716.3,18940.0,18878.6,339.40830757,6428393.3453758,2832
1608764400,2020-12-23 23:00:00,BTC/EUR,19153.8,19268.5,19054.2,19093.3,19189.8,186.76845893,3566026.216888169,1788
1608760800,2020-12-23 22:00:00,BTC/EUR,19117.7,19248.8,18700.0,19150.3,18949.0,700.78959403,13420330.962552708,6651
1608757200,2020-12-23 21:00:00,BTC/EUR,19293.3,19295.9,19025.0,19117.7,19147.9,264.38364032,5054407.120545664,2636
1608753600,2020-12-23 20:00:00,BTC/EUR,19358.2,19407.7,19248.6,19293.3,19304.6,123.40598854,2380908.758698782,1703
1608750000,2020-12-23 19:00:00,BTC/EUR,19399.5,19399.5,19307.8,19356.2,19354.5,50.52973394,978063.636089428,810
1608746400,2020-12-23 18:00:00,BTC/EUR,19396.9,19431.0,19342.6,19398.5,19397.7,147.65931642,2864369.24957337,1334
1608742800,2020-12-23 17:00:00,BTC/EUR,19230.0,19425.2,19200.8,19396.9,19331.5,275.46596793,5343185.833341417,1793
1608739200,2020-12-23 16:00:00,BTC/EUR,19266.3,19397.0,19201.2,19230.0,19308.5,250.60218221,4819079.9638983,2210
1608735600,2020-12-23 15:00:00,BTC/EUR,19463.4,19560.0,19187.0,19266.5,19376.0,393.98312687,7590675.913840855,2698
1608732000,2020-12-23 14:00:00,BTC/EUR,19389.9,19550.1,19320.1,19463.4,19416.2,338.63731444,6591033.505871497,2410
1608728400,2020-12-23 13:00:00,BTC/EUR,19585.2,19788.0,19255.0,19390.4,19563.9,737.17452795,14294108.96676168,5592
1608724800,2020-12-23 12:00:00,BTC/EUR,18972.7,19597.2,18863.9,19588.2,19244.5,595.23588298,11659599.522988837,4797
1608721200,2020-12-23 11:00:00,BTC/EUR,19243.8,19265.6,18750.3,18972.6,18961.2,954.41661017,18107764.57811134,6660
1608717600,2020-12-23 10:00:00,BTC/EUR,19390.1,19440.0,19222.0,19242.2,19356.8,477.68468829,9191704.309013838,3152
1608714000,2020-12-23 09:00:00,BTC/EUR,19292.6,19400.2,19230.9,19390.1,19329.1,244.85556665,4747773.9229001645,2210
1608710400,2020-12-23 08:00:00,BTC/EUR,19294.6,19408.6,19250.9,19289.9,19328.8,219.26285249,4229558.498246851,1864
1608706800,2020-12-23 07:00:00,BTC/EUR,19282.2,19360.2,19151.0,19308.7,19275.9,167.03600002,3225248.0135861738,1834
1608703200,2020-12-23 06:00:00,BTC/EUR,19268.3,19347.0,19237.2,19286.4,19293.1,147.64882664,2847614.3301096964,1079
1608699600,2020-12-23 05:00:00,BTC/EUR,19222.1,19280.8,19129.4,19268.3,19215.4,120.68467657,2325388.5535537307,1363
1608696000,2020-12-23 04:00:00,BTC/EUR,19422.3,19429.4,19206.7,19233.7,19293.6,105.42628862,2027737.607430494,943
1608692400,2020-12-23 03:00:00,BTC/EUR,19368.5,19478.2,19343.7,19407.6,19428.9,51.11053659,991932.8499240839,421
1608688800,2020-12-23 02:00:00,BTC/EUR,19435.4,19452.2,19300.0,19368.3,19359.4,78.09692197,1512604.613791551,741
1608685200,2020-12-23 01:00:00,BTC/EUR,19670.1,19700.0,19373.0,19435.5,19562.1,308.91130325,6003845.634315375,1804
1608681600,2020-12-23 00:00:00,BTC/EUR,19508.5,19670.1,19426.9,19670.0,19562.5,227.37583172,4472482.6099324,1792
1608678000,2020-12-22 23:00:00,BTC/EUR,19470.7,19525.0,19392.8,19508.9,19461.7,233.04465271,4546444.82525412,1807
1608674400,2020-12-22 22:00:00,BTC/EUR,19257.6,19489.0,19214.0,19474.8,19315.1,236.39845940,4603812.71712312,1907
1608670800,2020-12-22 21:00:00,BTC/EUR,19270.9,19330.0,19184.5,19260.4,19272.8,149.86640792,2886486.963102368,1598
1608667200,2020-12-22 20:00:00,BTC/EUR,19249.6,19277.8,19155.5,19268.7,19230.2,233.58706445,4500919.068767715,1608
1608663600,2020-12-22 19:00:00,BTC/EUR,19267.8,19331.3,19182.5,19249.7,19286.7,196.16588894,3776134.5123283183,1516
1608660000,2020-12-22 18:00:00,BTC/EUR,19178.7,19335.9,19178.6,19265.0,19269.7,192.35084273,3705638.98519345,1715
1608656400,2020-12-22 17:00:00,BTC/EUR,19187.2,19244.3,19100.1,19179.9,19182.9,132.22005619,2535967.4557185816,1643
1608652800,2020-12-22 16:00:00,BTC/EUR,19197.6,19269.9,19100.0,19187.1,19182.7,290.19488989,5567998.371808419,2733
1608649200,2020-12-22 15:00:00,BTC/EUR,19216.0,19373.5,19171.3,19201.8,19273.2,293.84053100,5642267.1081558,2749
1608645600,2020-12-22 14:00:00,BTC/EUR,19233.2,19332.8,19150.0,19214.5,19253.2,411.82754649,7913060.392032105,3094
1608642000,2020-12-22 13:00:00,BTC/EUR,18967.2,19257.0,18907.7,19222.1,19084.6,366.33314666,7041692.3784131855,2893
1608638400,2020-12-22 12:00:00,BTC/EUR,18935.1,19045.0,18860.3,18968.8,18947.1,330.28685992,6265145.388450496,2596
1608634800,2020-12-22 11:00:00,BTC/EUR,18601.1,18950.0,18586.0,18935.0,18748.6,530.68481722,10048517.0140607,3163
1608631200,2020-12-22 10:00:00,BTC/EUR,18698.0,18720.0,18536.4,18601.1,18631.0,253.97290923,4724175.481878153,2253
1608627600,2020-12-22 09:00:00,BTC/EUR,18582.2,18698.0,18550.2,18698.0,18640.3,470.59568897,8799198.19236106,2903
1608624000,2020-12-22 08:00:00,BTC/EUR,18554.5,18624.1,18307.0,18582.2,18484.6,413.50392702,7683812.672671044,3202
1608620400,2020-12-22 07:00:00,BTC/EUR,18651.4,18701.0,18441.7,18554.3,18577.5,199.35019279,3698803.282083497,1785
1608616800,2020-12-22 06:00:00,BTC/EUR,18572.7,18730.7,18494.3,18657.7,18656.8,162.97362495,3040713.0022296146,1423
1608613200,2020-12-22 05:00:00,BTC/EUR,18787.1,18787.1,18525.9,18572.7,18611.6,100.34326062,1863645.276517074,999
1608609600,2020-12-22 04:00:00,BTC/EUR,18726.4,18857.8,18726.4,18787.1,18810.0,54.53467378,1024548.3697722378,541
1608606000,2020-12-22 03:00:00,BTC/EUR,18779.9,18780.0,18620.9,18690.1,18691.3,74.36984346,1389979.8112517458,621
1608602400,2020-12-22 02:00:00,BTC/EUR,18634.2,18780.0,18617.0,18780.0,18731.1,67.74149441,1272185.2650198,642
1608598800,2020-12-22 01:00:00,BTC/EUR,18470.1,18699.9,18415.0,18634.2,18561.6,69.33517797,1292005.5733285742,1051
1608595200,2020-12-22 00:00:00,BTC/EUR,18590.2,18730.4,18430.0,18470.2,18557.1,167.43591919,3092574.914623138,1887
1608591600,2020-12-21 23:00:00,BTC/EUR,18960.3,18986.0,18590.1,18590.1,18777.3,153.10491722,2846235.7216115217,1411
1608588000,2020-12-21 22:00:00,BTC/EUR,18924.1,18989.1,18887.3,18964.9,18943.0,126.58192068,2400613.467504132,1232
1608584400,2020-12-21 21:00:00,BTC/EUR,18667.9,18940.0,18638.0,18924.0,18809.0,159.58866106,3020055.8218994397,1537
1608580800,2020-12-21 20:00:00,BTC/EUR,18663.8,18744.2,18610.1,18665.2,18684.8,205.39197348,3833682.263398896,1432
1608577200,2020-12-21 19:00:00,BTC/EUR,18650.3,18758.8,18555.0,18655.1,18655.7,230.27962504,4295889.433083704,1795
