https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume BTC,Volume EUR,tradecount
1608854400,2020-12-25 00:00:00,BTC/EUR,19473.0,19529.3,19466.1,19529.3,19501.8,13.28300522,259407.79384294598,140
1608768000,2020-12-24 00:00:00,BTC/EUR,19090.1,19550.0,18670.0,19468.8,19081.1,4983.45255071,97021841.01926284,39129
1608681600,2020-12-23 00:00:00,BTC/EUR,19508.5,19788.0,18700.0,19093.3,19272.9,7167.14583754,136844465.61990246,58285
1608595200,2020-12-22 00:00:00,BTC/EUR,18590.2,19525.0,18307.0,19508.9,18949.5,5630.95787591,109853794.10534061,46329
1608508800,2020-12-21 00:00:00,BTC/EUR,19156.0,19706.6,18058.8,18590.1,18840.0,9008.39168782,167466902.31574255,67020
1608422400,2020-12-20 00:00:00,BTC/EUR,19361.1,19740.8,18775.0,19155.9,19248.0,4159.89789856,79686588.1550255,38871
1608336000,2020-12-19 00:00:00,BTC/EUR,18852.5,19610.0,18602.0,19361.1,19138.3,5236.81716181,101390540.75151958,41863
1608249600,2020-12-18 00:00:00,BTC/EUR,18579.8,18970.0,18215.6,18852.5,18645.8,5616.85174462,105891697.51544856,45505
1608163200,2020-12-17 00:00:00,BTC/EUR,17490.1,19399.0,17386.7,18579.7,18611.3,14905.95943815,276948254.57299554,113293
1608076800,2020-12-16 00:00:00,BTC/EUR,15989.2,17662.0,15881.1,17490.0,16772.5,9293.18329715,162537775.86715353,68796
1607990400,2020-12-15 00:00:00,BTC/EUR,15855.5,16088.0,15670.5,15992.4,15921.0,4308.24556011,68899186.29550317,34406
1607904000,2020-12-14 00:00:00,BTC/EUR,15780.6,15919.7,15660.0,15855.9,15782.2,2943.43475883,46670807.1925326,24765
1607817600,2020-12-13 00:00:00,BTC/EUR,15549.7,15995.5,15465.2,15780.5,15791.5,3631.82858899,57312071.04855669,27391
