https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume ETH,Volume EUR,tradecount
1608854400,2020-12-25 00:00:00,ETH/EUR,503.00,505.21,501.70,502.21,504.24,336.62769286,169057.79363122061,232
1608850800,2020-12-24 23:00:00,ETH/EUR,503.27,505.07,500.37,503.07,502.29,2588.63440776,1302264.3115118232,1062
1608847200,2020-12-24 22:00:00,ETH/EUR,497.40,505.25,496.98,503.50,502.65,2356.19768412,1186345.53395442,895
1608843600,2020-12-24 21:00:00,ETH/EUR,497.63,501.34,496.39,497.40,498.55,2470.80909650,1228980.4445991,813
1608840000,2020-12-24 20:00:00,ETH/EUR,489.36,498.50,487.54,497.06,494.91,1469.45207541,730405.8486032946,555
1608836400,2020-12-24 19:00:00,ETH/EUR,488.50,490.76,487.78,488.47,489.26,876.07937277,427938.49121696193,343
1608832800,2020-12-24 18:00:00,ETH/EUR,488.79,489.83,487.14,488.49,488.43,327.84290861,160147.9824268989,259
1608829200,2020-12-24 17:00:00,ETH/EUR,484.44,488.81,482.31,488.40,484.97,635.59467326,310424.438420184,358
1608825600,2020-12-24 16:00:00,ETH/EUR,488.10,488.30,481.78,483.41,484.89,599.45641260,289783.224414966,452
1608822000,2020-12-24 15:00:00,ETH/EUR,484.89,488.81,483.79,487.95,486.43,1040.96277076,507937.783992342,525
1608818400,2020-12-24 14:00:00,ETH/EUR,491.00,492.61,483.79,484.83,488.62,1722.44307040,835092.073822032,777
1608814800,2020-12-24 13:00:00,ETH/EUR,479.00,490.99,477.89,490.54,484.60,2468.60675887,1210950.3594960899,1020
1608811200,2020-12-24 12:00:00,ETH/EUR,479.45,480.92,475.34,479.02,477.80,1801.59752414,863001.2460135428,670
1608807600,2020-12-24 11:00:00,ETH/EUR,475.00,479.78,472.44,479.42,476.70,1599.13851358,766658.9861805236,724
1608804000,2020-12-24 10:00:00,ETH/EUR,481.19,481.31,474.83,475.01,477.07,2255.04128303,1071167.1598520803,908
1608800400,2020-12-24 09:00:00,ETH/EUR,480.11,481.17,477.56,481.17,479.03,1630.77327053,784679.1745809201,700
1608796800,2020-12-24 08:00:00,ETH/EUR,476.81,480.79,475.52,480.40,478.39,1894.16867099,909958.629543596,912
1608793200,2020-12-24 07:00:00,ETH/EUR,471.36,478.30,469.01,476.69,473.71,787.86688603,375568.2659016407,607
1608789600,2020-12-24 06:00:00,ETH/EUR,476.45,478.90,470.00,471.40,473.52,599.03998393,282387.448424602,451
1608786000,2020-12-24 05:00:00,ETH/EUR,475.63,478.72,472.60,476.75,476.57,571.97612237,272689.6163398975,317
1608782400,2020-12-24 04:00:00,ETH/EUR,472.46,475.99,469.66,475.65,474.51,535.23094744,254582.600149836,310
1608778800,2020-12-24 03:00:00,ETH/EUR,471.77,474.19,469.13,472.10,471.52,565.72930777,267080.80619821703,321
1608775200,2020-12-24 02:00:00,ETH/EUR,481.57,481.81,471.05,471.09,477.34,1596.07725169,751896.032498642,555
1608771600,2020-12-24 01:00:00,ETH/EUR,473.24,481.56,471.03,481.56,476.01,2259.46574454,1088068.3239406822,781
1608768000,2020-12-24 00:00:00,ETH/EUR,480.72,480.92,465.00,472.78,472.10,3600.75781544,1702366.279983723,1595
1608764400,2020-12-23 23:00:00,ETH/EUR,480.73,488.20,477.69,480.72,483.37,4262.77291661,2049200.1964727591,1727
