https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume ETH,Volume EUR,tradecount
1608854400,2020-12-25 00:00:00,ETH/EUR,503.00,505.10,503.00,504.72,503.97,129.51663705,65369.63705187601,166
1608768000,2020-12-24 00:00:00,ETH/EUR,480.72,505.25,465.00,503.07,484.08,36252.94255254,18237767.809906296,15910
1608681600,2020-12-23 00:00:00,ETH/EUR,521.53,523.13,451.32,480.72,492.29,60123.37803808,28902510.29046582,26682
1608595200,2020-12-22 00:00:00,ETH/EUR,497.34,521.98,481.68,521.96,503.01,42618.51071325,22245157.85188797,18195
1608508800,2020-12-21 00:00:00,ETH/EUR,520.66,530.57,491.30,497.12,505.95,64880.63579815,32253461.667976327,23964
1608422400,2020-12-20 00:00:00,ETH/EUR,534.94,536.55,499.89,521.19,522.23,44022.81007701,22944248.384036843,16838
1608336000,2020-12-19 00:00:00,ETH/EUR,533.51,543.10,527.06,535.02,535.70,27782.12054482,14863990.133889597,11889
1608249600,2020-12-18 00:00:00,ETH/EUR,523.99,541.56,513.33,533.55,528.87,34557.96586511,18438402.68732944,14603
1608163200,2020-12-17 00:00:00,ETH/EUR,522.10,550.00,506.59,524.39,532.10,133498.35477600,70005202.26098664,42067
1608076800,2020-12-16 00:00:00,ETH/EUR,484.69,522.59,478.53,522.24,505.20,74382.63632248,38845587.99305195,24578
1607990400,2020-12-15 00:00:00,ETH/EUR,482.62,489.92,476.20,484.74,483.23,22867.33660146,11084712.744191721,8632
1607904000,2020-12-14 00:00:00,ETH/EUR,486.27,487.76,473.62,482.38,480.54,30607.25415440,14764327.258999472,8986
1607817600,2020-12-13 00:00:00,ETH/EUR,469.27,490.08,465.57,486.39,481.66,34271.28183295,16669208.77072855,10952
1607731200,2020-12-12 00:00:00,ETH/EUR,449.72,474.40,448.55,469.30,463.44,23324.68604722,10946275.161960345,8023
1607644800,2020-12-11 00:00:00,ETH/EUR,460.74,461.57,441.72,449.24,450.99,45090.92802984,20256648.50812532,13283
1607558400,2020-12-10 00:00:00,ETH/EUR,475.29,476.88,451.77,459.98,462.56,32596.79221043,14993872.480953593,11335
1607472000,2020-12-09 00:00:00,ETH/EUR,458.26,478.75,436.88,475.40,459.09,66971.78178104,31838385.058706414,19120
1607385600,2020-12-08 00:00:00,ETH/EUR,488.38,491.00,453.13,458.28,471.32,42488.37465475,19471572.336778827,14184
1607299200,2020-12-07 00:00:00,ETH/EUR,496.27,497.31,483.29,488.34,489.73,22047.39318308,10766623.987025287,8699
1607212800,2020-12-06 00:00:00,ETH/EUR,492.79,500.97,482.12,497.00,491.48,28538.89739967,14183832.00763599,8263
1607126400,2020-12-05 00:00:00,ETH/EUR,468.88,493.90,463.23,492.77,485.16,29078.65814385,14329090.373544963,8698
1607040000,2020-12-04 00:00:00,ETH/EUR,507.70,510.68,466.00,468.88,488.07,62079.08482039,29107641.290584464,17851
1606953600,2020-12-03 00:00:00,ETH/EUR,493.20,513.00,485.23,508.18,500.95,51188.79622784,26013122.467063732,13268
1606867200,2020-12-02 00:00:00,ETH/EUR,485.65,502.00,477.65,493.70,491.20,42332.92711849,20899766.118398514,13138
1606780800,2020-12-01 00:00:00,ETH/EUR,513.80,532.25,466.00,485.88,501.12,148567.58960237,72186020.43599953,37084
1606694400,2020-11-30 00:00:00,ETH/EUR,481.92,513.80,477.36,513.79,498.08,100442.85335515,51606533.62534252,28069
1606608000,2020-11-29 00:00:00,ETH/EUR,450.05,482.20,444.38,481.89,465.24,42402.83671467,20433502.984432325,11651
1606521600,2020-11-28 00:00:00,ETH/EUR,433.99,459.10,424.13,450.20,446.75,47454.05819880,21363817.001099758,13452
1606435200,2020-11-27 00:00:00,ETH/EUR,436.74,445.29,414.22,434.00,428.12,56548.44844625,24542026.625672497,15858
1606348800,2020-11-26 00:00:00,ETH/EUR,477.76,484.32,400.00,436.01,430.11,220514.63136713,96146584.42238235,56907
1606262400,2020-11-25 00:00:00,ETH/EUR,508.86,510.06,465.14,478.15,492.24,79752.32575105,38133574.557864554,27805
1606176000,2020-11-24 00:00:00,ETH/EUR,513.91,525.34,495.00,509.08,511.18,110964.35363327,56489733.14762509,35084
1606089600,2020-11-23 00:00:00,ETH/EUR,471.51,515.95,463.00,514.20,499.60,134773.91612790,69300747.6729662,35013
1606003200,2020-11-22 00:00:00,ETH/EUR,464.92,489.01,428.00,471.51,460.37,128743.57413592,60703882.64082764,30746
1605916800,2020-11-21 00:00:00,ETH/EUR,429.99,465.20,424.01,464.78,446.02,74116.06411742,34447664.28049447,22104
1605830400,2020-11-20 00:00:00,ETH/EUR,398.08,434.00,397.26,429.99,421.56,104519.05044930,44942146.50269451,22249
1605744000,2020-11-19 00:00:00,ETH/EUR,404.00,407.16,394.00,397.93,400.44,29312.86594325,11664468.744797472,9662
1605657600,2020-11-18 00:00:00,ETH/EUR,406.26,415.00,385.62,404.18,401.30,103002.43255898,41631523.19168854,22611
1605571200,2020-11-17 00:00:00,ETH/EUR,388.44,408.47,388.28,406.56,400.73,69899.09262954,28418175.099465784,16936
1605484800,2020-11-16 00:00:00,ETH/EUR,379.01,393.76,377.26,388.65,386.84,36403.65459373,14148280.357853165,10472
1605398400,2020-11-15 00:00:00,ETH/EUR,389.99,391.66,372.70,379.04,381.40,31512.32602106,11944432.055022582,8649
1605312000,2020-11-14 00:00:00,ETH/EUR,402.84,403.39,382.08,389.73,390.64,35032.97487930,13653401.29970959,8730
1605225600,2020-11-13 00:00:00,ETH/EUR,392.06,403.76,388.26,402.87,396.52,52110.81578273,20993884.354388434,11473
1605139200,2020-11-12 00:00:00,ETH/EUR,393.79,398.20,384.06,392.26,390.58,57817.17428726,22679364.78592061,12810
1605052800,2020-11-11 00:00:00,ETH/EUR,381.84,404.21,381.12,394.01,394.16,63417.34551732,24987068.30727925,15847
1604966400,2020-11-10 00:00:00,ETH/EUR,375.96,384.84,371.84,381.93,380.03,28078.54252615,10724037.74701247,8694
1604880000,2020-11-09 00:00:00,ETH/EUR,381.20,386.19,365.21,375.71,376.43,58782.07716991,22085014.213506885,12878
1604793600,2020-11-08 00:00:00,ETH/EUR,365.34,386.94,363.04,381.21,377.99,52476.77545818,20004671.572412796,11788
1604707200,2020-11-07 00:00:00,ETH/EUR,384.78,394.22,355.00,365.30,374.70,94863.53204060,34653648.25443118,22779
1604620800,2020-11-06 00:00:00,ETH/EUR,352.48,385.75,350.71,384.79,371.08,79055.69445963,30419840.67112103,22012
1604534400,2020-11-05 00:00:00,ETH/EUR,343.40,355.60,337.23,352.38,345.93,58924.08214966,20763668.06789719,15589
1604448000,2020-11-04 00:00:00,ETH/EUR,329.91,348.52,323.35,343.25,335.39,55951.35354374,19205302.103888754,11842
1604361600,2020-11-03 00:00:00,ETH/EUR,329.42,332.58,318.55,329.76,325.11,31658.27108409,10439631.472689519,8823
1604275200,2020-11-02 00:00:00,ETH/EUR,340.61,347.00,325.44,329.74,335.01,39933.63530732,13167716.906235697,9615
1604188800,2020-11-01 00:00:00,ETH/EUR,331.35,341.00,330.61,340.65,336.14,14333.79439038,4882807.059082947,4560
1604102400,2020-10-31 00:00:00,ETH/EUR,328.35,337.37,326.66,331.99,332.97,27348.28482688,9079357.079675892,6090
1604016000,2020-10-30 00:00:00,ETH/EUR,331.92,335.63,320.74,328.33,326.10,32093.23314340,10537171.237972522,7922
1603929600,2020-10-29 00:00:00,ETH/EUR,331.01,337.99,325.39,331.89,332.76,30678.77306388,10181977.992171133,8125
1603843200,2020-10-28 00:00:00,ETH/EUR,342.82,347.40,324.15,331.05,332.17,56703.84239244,18771807.024017263,11932
1603756800,2020-10-27 00:00:00,ETH/EUR,332.92,346.89,331.00,343.02,340.48,29409.40364076,10088013.636853494,8881
1603670400,2020-10-26 00:00:00,ETH/EUR,342.59,346.73,324.37,333.01,334.78,43339.26104040,14432407.319063604,9960
1603584000,2020-10-25 00:00:00,ETH/EUR,346.16,350.50,340.11,342.54,344.18,18050.19152958,6182912.606542333,4664
1603497600,2020-10-24 00:00:00,ETH/EUR,344.45,350.69,343.00,346.73,346.94,11940.91765701,4140274.379215078,4144
1603411200,2020-10-23 00:00:00,ETH/EUR,350.38,353.70,337.09,344.60,347.10,35597.70366095,12266968.68156337,9760
1603324800,2020-10-22 00:00:00,ETH/EUR,353.19,355.79,348.56,350.51,352.46,6365.30343248,2231102.506118565,1630
1603238400,2020-10-21 00:00:00,ETH/EUR,311.85,337.82,311.21,329.23,326.69,63104.33106116,20775838.91526571,13895
1603152000,2020-10-20 00:00:00,ETH/EUR,321.98,323.40,310.00,311.71,315.21,39850.87877340,12421917.422456512,7591
1603065600,2020-10-19 00:00:00,ETH/EUR,322.94,325.82,318.71,321.97,322.18,17775.91509419,5723311.382876355,5549
1602979200,2020-10-18 00:00:00,ETH/EUR,314.67,323.23,314.16,322.93,319.41,13419.44820626,4333542.409247542,4091
