https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume LINK,Volume EUR,tradecount
1608854400,2020-12-25 00:00:00,LINK/EUR,9.55000,9.58000,9.42212,9.42212,9.49569,1302.50200459,12272.33018748753,34
1608850800,2020-12-24 23:00:00,LINK/EUR,9.48599,9.58000,9.42630,9.50607,9.49843,17163.96129717,163161.81756818882,275
1608847200,2020-12-24 22:00:00,LINK/EUR,9.23682,9.50000,9.21639,9.47445,9.37572,8974.99923786,85033.18152914268,207
1608843600,2020-12-24 21:00:00,LINK/EUR,9.22388,9.23906,9.15262,9.18620,9.19556,6211.53615295,57060.41340822928,91
1608840000,2020-12-24 20:00:00,LINK/EUR,9.18622,9.26452,9.05800,9.20001,9.18549,7956.64421242,73201.20632070613,103
1608836400,2020-12-24 19:00:00,LINK/EUR,9.18246,9.19081,9.03000,9.14345,9.11595,5773.60330821,52790.65316845272,130
1608832800,2020-12-24 18:00:00,LINK/EUR,9.02845,9.20318,8.95059,9.17000,9.10378,7090.71212657,65021.830200646895,189
1608829200,2020-12-24 17:00:00,LINK/EUR,8.90436,9.04992,8.76747,9.00602,8.91611,5442.52241719,49015.46573966148,123
1608825600,2020-12-24 16:00:00,LINK/EUR,8.94143,9.00000,8.84896,8.89173,8.89652,7981.18855563,70966.57371575195,147
1608822000,2020-12-24 15:00:00,LINK/EUR,8.98806,9.01637,8.85192,8.93781,8.95501,14751.04430107,131842.03126454647,202
1608818400,2020-12-24 14:00:00,LINK/EUR,9.16871,9.21000,8.89617,8.93499,9.01112,23009.02839574,205585.43862565295,321
1608814800,2020-12-24 13:00:00,LINK/EUR,8.73039,9.19221,8.70693,9.16858,8.88814,12388.75876893,113587.32587363622,231
1608811200,2020-12-24 12:00:00,LINK/EUR,8.78585,8.91569,8.65672,8.73832,8.78172,12935.85722909,113037.65994210172,207
1608807600,2020-12-24 11:00:00,LINK/EUR,8.51588,8.79720,8.35669,8.79720,8.57900,11181.96235328,98369.95921427482,192
1608804000,2020-12-24 10:00:00,LINK/EUR,8.64455,8.65000,8.46401,8.47718,8.51762,9945.15610218,84306.87840627827,199
1608800400,2020-12-24 09:00:00,LINK/EUR,8.54618,8.69000,8.44957,8.65460,8.53409,28437.57743790,246115.85769404934,297
1608796800,2020-12-24 08:00:00,LINK/EUR,8.50760,8.62580,8.38822,8.55047,8.47271,24614.68859699,210467.1564079051,380
1608793200,2020-12-24 07:00:00,LINK/EUR,8.20312,8.51871,8.13255,8.47387,8.35244,14375.73833161,121818.13777608002,261
1608789600,2020-12-24 06:00:00,LINK/EUR,8.51175,8.61255,8.16281,8.23961,8.30692,17089.32692126,140809.38899368313,308
1608786000,2020-12-24 05:00:00,LINK/EUR,8.59339,8.63871,8.51441,8.51441,8.57556,9262.35955422,78863.52681204632,111
1608782400,2020-12-24 04:00:00,LINK/EUR,8.54074,8.65847,8.37954,8.60646,8.51534,10359.04133721,89154.67490704438,157
1608778800,2020-12-24 03:00:00,LINK/EUR,8.41762,8.58497,8.25609,8.54328,8.38752,15817.34621441,135132.01756664464,207
1608775200,2020-12-24 02:00:00,LINK/EUR,9.00690,9.01695,8.34773,8.42907,8.59125,14277.21559805,120343.64968105529,296
1608771600,2020-12-24 01:00:00,LINK/EUR,8.81401,9.05000,8.73751,8.99836,8.90986,10531.19065455,94763.44473827654,253
1608768000,2020-12-24 00:00:00,LINK/EUR,9.02688,9.02689,8.62690,8.79667,8.78680,30967.83204583,272413.7991225914,657
1608764400,2020-12-23 23:00:00,LINK/EUR,8.45174,9.42396,8.40456,9.05206,8.87272,44470.84670814,402552.7726528858,978
1608760800,2020-12-23 22:00:00,LINK/EUR,9.09355,9.65000,5.85850,8.45174,8.04706,209816.59043568,1773315.270048854,3393
1608757200,2020-12-23 21:00:00,LINK/EUR,9.50834,9.53295,9.02730,9.08482,9.24982,30139.99099175,273816.39296167024,592
1608753600,2020-12-23 20:00:00,LINK/EUR,9.76586,9.77101,9.51000,9.51000,9.60812,6224.55497170,59195.517780867005,155
1608750000,2020-12-23 19:00:00,LINK/EUR,9.71939,9.80589,9.70000,9.79291,9.74103,2780.51643842,27229.3472349676,56
1608746400,2020-12-23 18:00:00,LINK/EUR,9.67240,9.81783,9.67240,9.73043,9.73487,2088.21510495,20319.230903658627,47
1608742800,2020-12-23 17:00:00,LINK/EUR,9.50833,9.73397,9.50833,9.70032,9.63072,4241.55537696,41144.444454232624,89
1608739200,2020-12-23 16:00:00,LINK/EUR,9.63939,9.70702,9.50000,9.52000,9.56701,20513.10515508,195284.76107636158,321
1608735600,2020-12-23 15:00:00,LINK/EUR,9.73784,9.81189,9.63000,9.63706,9.69668,5562.09499224,53602.24316591641,94
1608732000,2020-12-23 14:00:00,LINK/EUR,9.74252,9.76480,9.66201,9.75560,9.72317,4591.49571367,44792.795584279054,116
