https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume LINK,Volume EUR,tradecount
1608854400,2020-12-25 00:00:00,LINK/EUR,9.55000,9.58000,9.55000,9.57981,9.56710,526.43274835,5043.125706970814,10
1608768000,2020-12-24 00:00:00,LINK/EUR,9.02688,9.58000,8.13255,9.50607,8.75871,326539.29115032,3104105.359425322,5544
1608681600,2020-12-23 00:00:00,LINK/EUR,10.48000,10.49796,5.85850,9.05206,8.79363,418463.35028282,3787955.354561104,7431
1608595200,2020-12-22 00:00:00,LINK/EUR,10.08830,10.54040,9.70000,10.47757,10.11746,155999.34648798,1634494.0727820646,2382
1608508800,2020-12-21 00:00:00,LINK/EUR,10.66813,10.82700,9.92800,10.07385,10.26359,202471.63589099,2039668.8892204496,3332
1608422400,2020-12-20 00:00:00,LINK/EUR,10.96099,11.15000,10.36000,10.67130,10.83310,156450.61343936,1669531.4311954423,2382
1608336000,2020-12-19 00:00:00,LINK/EUR,11.02572,11.38000,10.85992,10.96529,11.11123,91189.20070569,999916.0306060954,1600
1608249600,2020-12-18 00:00:00,LINK/EUR,10.96399,11.40662,10.73909,10.99481,11.03177,84861.01946355,933030.7854080341,1631
1608163200,2020-12-17 00:00:00,LINK/EUR,11.05897,11.80000,10.69190,10.97734,11.22078,488941.97276130,5367282.275271528,6363
1608076800,2020-12-16 00:00:00,LINK/EUR,10.42531,11.06456,10.13070,11.05897,10.69888,260258.07291442,2878186.2206183835,3210
1607990400,2020-12-15 00:00:00,LINK/EUR,10.57110,10.68803,10.28335,10.44062,10.45778,79583.21829617,830898.1406073584,1113
1607904000,2020-12-14 00:00:00,LINK/EUR,10.63853,10.68362,10.13816,10.55133,10.46364,121162.39826702,1278424.4477067562,1605
1607817600,2020-12-13 00:00:00,LINK/EUR,10.11323,10.91969,9.96154,10.64233,10.50646,127371.05221659,1355524.7701361822,1800
1607731200,2020-12-12 00:00:00,LINK/EUR,9.64156,10.21965,9.58432,10.08138,9.99112,80009.64608817,806607.6458803553,1254
1607644800,2020-12-11 00:00:00,LINK/EUR,9.82251,9.82251,9.44627,9.63369,9.63131,105808.61096286,1019327.3573467947,1623
1607558400,2020-12-10 00:00:00,LINK/EUR,10.47844,10.49948,9.77837,9.82000,10.06025,110122.66707952,1081404.5907208864,1448
1607472000,2020-12-09 00:00:00,LINK/EUR,10.02818,10.64127,9.55000,10.47171,10.00425,174339.96623348,1825637.5678067948,2408
1607385600,2020-12-08 00:00:00,LINK/EUR,10.78588,10.87837,9.90406,10.01772,10.31680,124017.06197364,1242368.202074573,2082
1607299200,2020-12-07 00:00:00,LINK/EUR,11.15000,11.17643,10.63272,10.80000,10.85500,66525.01240796,718470.1340059681,1089
1607212800,2020-12-06 00:00:00,LINK/EUR,10.87939,11.16222,10.57000,11.11212,10.89532,62503.87256761,694550.5324359905,888
1607126400,2020-12-05 00:00:00,LINK/EUR,10.46094,11.03366,10.33372,10.87761,10.81266,55754.07174959,606471.0484040577,933
1607040000,2020-12-04 00:00:00,LINK/EUR,11.51310,11.55475,10.34347,10.48000,11.03345,202312.49373787,2120234.9343728777,2692
1606953600,2020-12-03 00:00:00,LINK/EUR,11.54283,11.70000,11.30411,11.52039,11.51770,97143.58123833,1119131.9418622446,1208
1606867200,2020-12-02 00:00:00,LINK/EUR,11.06959,11.67430,10.84400,11.55614,11.33157,110792.70285508,1280335.985171704,2093
1606780800,2020-12-01 00:00:00,LINK/EUR,11.90567,12.40998,10.95065,11.09910,11.62798,299352.96533742,3322548.4975765585,4483
1606694400,2020-11-30 00:00:00,LINK/EUR,11.22000,12.00000,11.22000,11.88585,11.70139,335795.08468362,3991210.0072868047,4195
1606608000,2020-11-29 00:00:00,LINK/EUR,10.96482,11.29583,10.77728,11.17989,11.02116,135692.73732765,1517029.8771220208,1734
1606521600,2020-11-28 00:00:00,LINK/EUR,10.45720,11.26757,10.35670,10.96424,10.92128,222099.03839173,2435147.160696142,2290
1606435200,2020-11-27 00:00:00,LINK/EUR,10.58996,10.86000,10.04806,10.45629,10.33434,199636.23140387,2087454.3300659717,2203
1606348800,2020-11-26 00:00:00,LINK/EUR,11.94033,12.13639,9.51000,10.56607,10.36260,1029492.76008033,10877692.567501971,12044
1606262400,2020-11-25 00:00:00,LINK/EUR,13.17097,13.31024,11.60000,11.97101,12.45786,247582.13194264,2963808.177306663,4286
1606176000,2020-11-24 00:00:00,LINK/EUR,12.89269,13.84099,12.61001,13.17504,13.20091,520602.54211796,6858959.316505807,7838
1606089600,2020-11-23 00:00:00,LINK/EUR,12.23963,13.01154,11.99121,12.89500,12.61507,419841.40861549,5413854.964096744,4999
1606003200,2020-11-22 00:00:00,LINK/EUR,13.00022,13.20000,11.59322,12.18700,12.32839,447970.42484349,5459415.567567612,5677
1605916800,2020-11-21 00:00:00,LINK/EUR,11.87390,13.05997,11.57420,13.00000,12.36225,380275.65680493,4943583.53846409,5276
1605830400,2020-11-20 00:00:00,LINK/EUR,11.48683,12.19644,11.38194,11.86719,11.89231,258244.24084351,3064633.4724956937,3577
1605744000,2020-11-19 00:00:00,LINK/EUR,11.43975,11.81747,11.03000,11.48227,11.46764,199459.96908735,2290253.2192526064,2904
1605657600,2020-11-18 00:00:00,LINK/EUR,11.27000,11.96252,10.60000,11.46409,11.36244,644602.33004162,7389779.1258068355,6898
1605571200,2020-11-17 00:00:00,LINK/EUR,10.64080,11.27563,10.60095,11.27000,10.89151,490475.15368833,5527654.982067479,4904
1605484800,2020-11-16 00:00:00,LINK/EUR,10.24490,10.84997,10.16220,10.65000,10.61133,228152.31069934,2429822.1089479714,2347
1605398400,2020-11-15 00:00:00,LINK/EUR,10.63104,10.69578,10.01500,10.26535,10.28616,148405.84064504,1523437.8962655615,1789
1605312000,2020-11-14 00:00:00,LINK/EUR,10.88549,10.88549,10.45000,10.64668,10.64150,166788.52528417,1775744.056372467,1753
1605225600,2020-11-13 00:00:00,LINK/EUR,10.51487,10.99189,10.44154,10.87484,10.78420,182399.69522191,1983567.5015870358,2545
1605139200,2020-11-12 00:00:00,LINK/EUR,10.84000,11.15459,10.40957,10.52627,10.69077,343626.07387872,3617100.832687354,3919
1605052800,2020-11-11 00:00:00,LINK/EUR,11.02088,11.38999,10.85000,10.85000,11.11053,375642.44023286,4075720.4765265305,4492
1604966400,2020-11-10 00:00:00,LINK/EUR,10.56636,11.23868,10.44206,11.03000,10.94594,371190.79576840,4094234.477325452,4037
1604880000,2020-11-09 00:00:00,LINK/EUR,10.65589,10.92118,10.16000,10.56285,10.52527,376021.71118876,3971860.9320301935,3596
1604793600,2020-11-08 00:00:00,LINK/EUR,9.86000,11.02700,9.64003,10.68083,10.51096,352139.87850113,3761146.178491224,3823
1604707200,2020-11-07 00:00:00,LINK/EUR,10.26943,11.45000,9.60004,9.88000,10.57376,947909.02961279,9365341.212574366,10155
1604620800,2020-11-06 00:00:00,LINK/EUR,9.29910,10.35727,9.25000,10.28554,9.79423,367880.64571508,3783851.096728284,4060
1604534400,2020-11-05 00:00:00,LINK/EUR,8.94007,9.52884,8.53177,9.31420,9.08335,279415.74472635,2602534.129530169,3145
1604448000,2020-11-04 00:00:00,LINK/EUR,8.83583,9.09522,8.37002,8.92486,8.75412,330714.87010738,2951583.9156265515,2535
